Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15",0603,2,1uF,
"C10, C11, C12, C13, C16, C17, C19, C2, C3, C4, C5, C6, C7, C8, C9",0603,15,0.1uF,
C14,0603,1,4.7uF,
C18,0603,1,15pF,
"C20, C21",0603,2,2.2uF,
"D1, D2, D3",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,3,WS2812B,
FB1,0603,1,FerriteBead,
"J1, J2, J4",PinSocket_1x02_P2.54mm_Vertical,3,Power from PowerBoard,
J10,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,UnitV02,
"J11, J9",JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical,2,GH-S37D,
"J12, J13",JST_ZH_S4B-ZR-SM4A-TF_1x04-1MP_P1.50mm_Horizontal,2,LoadCell,
J3,CONN14_3220-14_CNC,1,ST-Link,
J5,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Com from BackBoard,
J6,JST_PH_B7B-PH-K_1x07_P2.00mm_Vertical,1,to TileBoard,
J7,PinSocket_1x04_P2.54mm_Vertical,1,to LidarBoard,
J8,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,UnitV01,
"Q1, Q2",SOT-23,2,BSS138,
"R1, R2, R4, R5, R6, R7, R8",0603,7,10k,
"R10, R11, R14, R15",0603,4,20,
"R12, R13, R16, R9",0603,4,47k,
R3,0603,1,47,
SW1,SW_SKRPACE010,1,RESET_SWITCH,
SW2,SSSS213202,1,MODE_SWITCH,
"U1, U3",PinSocket_1x06_P2.54mm_Vertical,2,~,
U2,SOT-23-5,1,Sit2001B,
U4,LQFP-144_20x20mm_P0.5mm,1,STM32H723ZGTx,
U5,AE-BNO055-BO,1,AE-BNO055-BO,
"U6, U8",SOT-23-5,2,NJU77551F,
U7,MOUDLE14P-SMD-2.54-21X17.8MM,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3,
