Designator,Mid X,Mid Y,Rotation,Layer
C1,191.63,-36.059999,90.0,top
C10,194.9,-41.959999,90.0,top
C11,212.39,-29.169999,0.0,top
C12,207.65,-29.159999,0.0,top
C13,201.35,-29.159999,0.0,top
C14,207.65,-25.259999,0.0,top
C15,193.465,-54.759999,180.0,top
C16,193.45,-52.159999,180.0,top
C17,247.935,-36.563499,270.0,top
C18,189.148,-42.614999,180.0,top
C19,185.33,-45.969999,90.0,top
C2,194.9,-36.064999,90.0,top
C20,216.67,-57.399999,0.0,top
C21,226.4,-35.589999,270.0,top
C3,195.55,-47.459999,270.0,top
C4,201.45,-57.399999,180.0,top
C5,206.05,-57.399999,180.0,top
C6,212.75,-57.399999,180.0,top
C7,220.45,-57.399999,0.0,top
C8,223.97,-46.819999,270.0,top
C9,223.39,-33.809999,270.0,top
D1,160.2,-61.209999,0.0,top
D2,160.2,-67.829999,0.0,top
D3,160.2,-74.449999,0.0,top
FB1,193.45,-57.759999,180.0,top
J1,226.175,-67.049999,0.0,bottom
J10,272.15,-52.559999,270.0,top
J11,160.37,-43.599999,90.0,top
J12,183.78028,-79.680582,45.0,top
J13,238.20972,-79.670582,315.0,top
J2,232.675,-52.749999,0.0,bottom
J3,163.19,-83.128799,180.0,top
J4,187.925,-67.049999,0.0,bottom
J5,223.93,-18.609999,0.0,top
J6,209.35,-76.939999,180.0,bottom
J7,198.2,-69.166999,270.0,top
J8,149.85,-52.559999,90.0,top
J9,261.61,-43.589999,270.0,top
Q1,223.8875,-74.809999,0.0,top
Q2,158.8125,-52.459999,180.0,top
R1,249.368,-23.398499,0.0,top
R10,174.65,-81.759999,180.0,top
R11,178.55,-76.159999,180.0,top
R12,176.15,-78.559999,90.0,top
R13,247.75,-74.159999,0.0,top
R14,246.55,-76.959999,0.0,top
R15,241.25,-75.159999,0.0,top
R16,243.55,-66.459999,270.0,top
R2,256.108,-23.358499,180.0,top
R3,195.05,-49.859999,0.0,top
R4,201.35,-25.159999,0.0,top
R5,228.575,-73.609999,270.0,top
R6,219.8,-75.809999,90.0,top
R7,155.75,-56.359999,90.0,top
R8,158.95,-56.059999,0.0,top
R9,167.857316,-78.274999,90.0,top
SW1,252.845,-36.384999,0.0,top
SW2,252.74,-28.189999,0.0,top
U1,148.935,-69.804999,0.0,top
U2,189.2105,-46.144999,180.0,top
U3,273.075,-69.804999,180.0,top
U4,209.43,-43.099999,270.0,top
U5,171.45,-58.479999,90.0,top
U6,171.65,-78.359999,0.0,top
U7,259.85,-74.559999,180.0,top
U8,247.55,-67.359999,180.0,top
